id,language,distance_level,text,gold_label
resp_0000,nl,1,"Ik voel me verantwoordelijk voor dit gebied, alsof het van ons is.",relational
resp_0001,de,1,"Diese Arten verdienen Schutz, unabhaengig von ihrem Nutzen fuer uns.",intrinsic
resp_0002,nl,1,"Hier wandelde ik als kind met mijn opa, deze plek is deel van wie ik ben.",relational
resp_0003,de,2,"Die Natur hier hat einen Wert an sich, unabhaengig vom Menschen.",intrinsic
resp_0004,de,2,"Fuer mich geht es um die Verbindung, die ich zu dieser Landschaft habe.",relational
resp_0005,de,4,"Dieser Wald ist wichtig, weil er CO2 fuer unser Klima speichert.",instrumental
resp_0006,de,3,"Die Tiere haben ein eigenes Recht, hier zu leben.",intrinsic
resp_0007,nl,1,De zeehonden en vogels hebben hun eigen recht om hier te bestaan.,intrinsic
resp_0008,nl,3,De zeehonden en vogels hebben hun eigen recht om hier te bestaan.,intrinsic
resp_0009,nl,3,"Hier wandelde ik als kind met mijn opa, deze plek is deel van wie ik ben.",relational
resp_0010,nl,1,Deze plek draagt de herinneringen van ons dorp met zich mee.,relational
resp_0011,en,4,"The mudflats supply fish, which is good for the local economy.",instrumental
resp_0012,de,1,"Dieser Wald ist wichtig, weil er CO2 fuer unser Klima speichert.",instrumental
resp_0013,de,2,"Die Natur hier hat einen Wert an sich, unabhaengig vom Menschen.",intrinsic
resp_0014,nl,3,"Het landschap is waardevol in zichzelf, niet omdat het ons iets oplevert.",intrinsic
resp_0015,nl,3,"Dit gebied zou beschermd moeten worden, ook als niemand er ooit komt.",intrinsic
resp_0016,en,2,I walked here with my grandfather as a child; this place is part of who I am.,relational
resp_0017,de,2,"Dieses Gebiet sollte geschuetzt werden, auch wenn niemand hierher kommt.",intrinsic
resp_0018,nl,2,Het wad levert vis en dat is goed voor de lokale economie.,instrumental
resp_0019,en,2,This forest matters because it stores carbon for our climate.,instrumental
resp_0020,en,3,"The landscape is worth protecting for its own sake, not for our benefit.",intrinsic
resp_0021,nl,3,Deze soorten verdienen bescherming ongeacht hun nut voor mensen.,intrinsic
resp_0022,de,4,"Die Landschaft ist an sich wertvoll, nicht wegen ihres Nutzens.",intrinsic
